PID,GrLivArea,SalePrice,LotFrontage,LotArea,Street_paved,Alley,LandContour,Utilities,LandSlope,Neighborhood,BldgType,OverallQual,OverallCond,RoofStyle,RoofMatl,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtUnfSF,TotalBsmtSF,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice_log,HeatingQC_ord,LotShape_com,MSZoning_com,LF_Near_NS_RR,LF_Near_Positive_Feature,LF_Adjacent_Arterial_St,LF_Near_EW_RR,LF_Adjacent_Feeder_St,Heating_com,Electrical_com,LotConfig_com,LotFrontage_log,LotArea_log,ext_Wood_Siding,ext_Hard_Board,ext_Metal_Siding,ext_Vinyl_Siding,ext_Wood_Shingles,ext_Plywood,ext_Stucco,ext_Cement_Board,ext_Face_Brick,ext_Asbestos_Shingles,ext_Common_Brick,ext_Imitation_Stucco,ext_Other,BsmtCond_ord,BsmtQual_ord,BsmtExposure_ord,BSMT_GLQ,BSMT_ALQ,BSMT_BLQ,BSMT_LwQ,BSMT_Rec,GarageType_com,number_floors,attic,PUD,Functional_ord,1stFlrSF_log,2ndFlrSF_log,GrLivArea_log,sold_datetime,Garage_age_years,Garage_age_bin,house_age_years,Remod_age_years,Remod_age_bin
909176150,856,126000,177.65134392961963,7890,Pave,No alley access,Level,EGWS,Gentle,SWISU,1Fam,6,6,Gable,Standard (Composite) Shingle,None,0.0,3,3,CBlock,618.0,856.0,Y,856,0,0,1.0,0.0,1,0,2,1,3,4,1,4,Unf,2.0,399.0,3,3,Paved,0,0,0,0,166,0,0,No Fence,Nothing,0,3,2010,WD ,Normal,5.1003705451175625,3,Regular,"Residential, low-density",0.0,0.0,0.0,0.0,0.0,Gas-powered forced-air heating,"Standard circuit breakers, all Romex wiring",Corner lot,5.179822887479905,3.89707700320942,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,1,0.0,0.0,0.0,0.0,238.0,Detached,1,No attic,0,7,2.932473764677153,0.0,2.932473764677153,2010-03-01,71.21095890410959,60+,71.21095890410959,60.202739726027396,45+
905476230,1049,139500,42.0,4235,Pave,No alley access,Level,EGWS,Gentle,Edwards,TwnhsE,5,5,Gable,Standard (Composite) Shingle,Brick Face,149.0,4,3,CBlock,104.0,1049.0,Y,1049,0,0,1.0,0.0,2,0,2,1,4,5,0,0,Fin,1.0,266.0,3,3,Paved,0,105,0,0,0,0,0,No Fence,Nothing,0,2,2009,WD ,Normal,5.144574207609616,3,Regular,"Residential, low-density",0.0,0.0,0.0,0.0,0.0,Gas-powered forced-air heating,"Standard circuit breakers, all Romex wiring",Inside lot (1 side frontage),3.7376696182833684,3.6268534146667255,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,2,552.0,393.0,0.0,0.0,0.0,Attached,1,No attic,1,7,3.020775488193558,0.0,3.020775488193558,2009-02-01,25.104109589041094,20-40,25.104109589041094,-1.0,No remodel
911128020,1001,124900,60.0,6060,Pave,No alley access,Level,EGWS,Gentle,IDOTRR,1Fam,5,9,Hip,Standard (Composite) Shingle,None,0.0,4,3,BrkTil,100.0,837.0,Y,1001,0,0,0.0,0.0,1,0,2,1,4,5,0,0,Unf,1.0,216.0,3,1,Dirt Gravel,154,0,42,86,0,0,0,No Fence,Nothing,0,11,2007,WD ,Normal,5.096562438374136,5,Regular,Nonresidential,0.0,0.0,0.0,0.0,0.0,Gas-powered forced-air heating,"Standard circuit breakers, all Romex wiring",Inside lot (1 side frontage),4.0943445622221,3.782472624166286,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,1,0.0,737.0,0.0,0.0,0.0,Detached,1,No attic,0,7,3.000434077479319,0.0,3.000434077479319,2007-11-01,77.88493150684931,60+,77.88493150684931,0.8328767123287671,0-15
535377150,1039,114000,80.0,8146,Pave,No alley access,Level,EGWS,Gentle,OldTown,1Fam,4,8,Gable,Standard (Composite) Shingle,None,0.0,4,4,BrkTil,405.0,405.0,Y,717,322,0,0.0,0.0,1,0,2,1,3,6,0,0,Unf,1.0,281.0,3,3,Dirt Gravel,0,0,168,0,111,0,0,No Fence,Nothing,0,5,2009,WD ,Normal,5.056904851336473,4,Regular,"Residential, low-density",0.0,0.0,0.0,0.0,0.0,Gas-powered forced-air heating,"Standard circuit breakers, all Romex wiring",Corner lot,4.382026634673881,3.9109444057499787,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,1,0.0,0.0,0.0,0.0,0.0,Detached,2,No attic,0,7,2.8555191556678,2.509202522331103,3.016615547557177,2009-05-01,69.37808219178082,60+,109.40273972602739,6.3342465753424655,0-15
534177230,1665,227000,70.0,8400,Pave,No alley access,Level,EGWS,Gentle,NWAmes,1Fam,8,6,Gable,Standard (Composite) Shingle,None,0.0,4,3,PConc,167.0,810.0,Y,810,855,0,1.0,0.0,2,1,3,1,4,6,0,0,Fin,2.0,528.0,3,3,Paved,0,45,0,0,0,0,0,No Fence,Nothing,0,11,2009,WD ,Normal,5.3560258571931225,5,Regular,"Residential, low-density",0.0,0.0,0.0,0.0,0.0,Gas-powered forced-air heating,"Standard circuit breakers, all Romex wiring",Inside lot (1 side frontage),4.248495242049359,3.9242792860618816,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,1,643.0,0.0,0.0,0.0,0.0,Attached,2,No attic,0,7,2.90848501887865,2.932473764677153,3.2214142378423385,2009-11-01,8.838356164383562,0-20,8.838356164383562,-1.0,No remodel
908128060,1922,198500,64.0,7301,Pave,No alley access,Level,EGWS,Gentle,Edwards,1Fam,7,5,Gable,Standard (Composite) Shingle,Brick Face,500.0,4,3,Slab,0.0,0.0,Y,495,1427,0,0.0,0.0,3,0,4,1,4,7,1,5,RFn,2.0,672.0,3,3,Paved,0,0,177,0,0,0,0,No Fence,Nothing,0,7,2009,ConLD,Normal,5.297760511099134,5,Regular,"Residential, low-density",0.0,0.0,0.0,0.0,0.0,Gas-powered forced-air heating,"Standard circuit breakers, all Romex wiring",Corner lot,4.1588830833596715,3.863382348440788,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,BuiltIn,2,No attic,0,7,2.694605198933569,3.1547282074401557,3.2837533833325265,2009-07-01,6.501369863013698,0-20,6.501369863013698,-1.0,No remodel
902135020,936,93000,60.0,6000,Pave,Paved,Banked (rise from street level to building),EGWS,Moderate-severe,OldTown,2fmCon,4,4,Gable,Standard (Composite) Shingle,None,0.0,2,3,CBlock,936.0,936.0,N,936,0,0,0.0,0.0,1,0,2,1,3,4,0,0,Unf,2.0,576.0,3,3,Paved,0,32,112,0,0,0,0,No Fence,Nothing,0,2,2009,WD ,Normal,4.968482948553935,3,Regular,"Residential, medium-density",0.0,0.0,0.0,0.0,0.0,Gas-powered forced-air heating,"Standard circuit breakers, all Romex wiring",Inside lot (1 side frontage),4.0943445622221,3.7781512503836434,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,1,0.0,0.0,0.0,0.0,0.0,Detached,1,No attic,0,5,2.971275848738105,0.0,2.971275848738105,2009-02-01,35.10958904109589,20-40,56.12328767123287,-1.0,No remodel
528228540,1246,187687,53.0,3710,Pave,No alley access,Level,EGWS,Gentle,Blmngtn,1Fam,7,5,Gable,Standard (Composite) Shingle,Brick Face,20.0,4,3,PConc,1146.0,1146.0,Y,1246,0,0,0.0,0.0,2,0,2,1,4,5,1,4,Fin,2.0,428.0,3,3,Paved,100,24,0,0,0,0,0,No Fence,Nothing,0,3,2008,New,Partial,5.273434192579859,5,Regular,"Residential, low-density",0.0,0.0,0.0,0.0,0.0,Gas-powered forced-air heating,"Standard circuit breakers, all Romex wiring",Inside lot (1 side frontage),3.970291913552122,3.569373909615046,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,4,0.0,0.0,0.0,0.0,0.0,Attached,1,No attic,0,7,3.095518042323151,0.0,3.095518042323151,2008-03-01,1.1643835616438356,0-20,1.1643835616438356,0.1643835616438356,0-15
923426010,889,137500,74.0,12395,Pave,No alley access,Level,EGWS,Gentle,Mitchel,1Fam,5,6,Gable,Standard (Composite) Shingle,None,0.0,3,3,CBlock,217.0,864.0,Y,889,0,0,0.0,0.0,1,0,3,1,3,6,0,0,Unf,2.0,484.0,3,3,Paved,0,0,0,0,0,0,0,No Fence,Nothing,0,4,2008,WD ,Normal,5.138302698166282,3,Regular,"Residential, low-density",0.0,0.0,0.0,0.0,0.0,Gas-powered forced-air heating,"Standard circuit breakers, all Romex wiring",Corner lot,4.30406509320417,4.093246531103841,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,1,0.0,647.0,0.0,0.0,0.0,Attached,1,No attic,0,7,2.9489017609702137,0.0,2.9489017609702137,2008-04-01,24.265753424657536,20-40,24.265753424657536,-1.0,No remodel
908186050,1072,140000,35.0,3675,Pave,No alley access,Level,EGWS,Gentle,Edwards,TwnhsE,6,5,Gable,Standard (Composite) Shingle,Stone,76.0,3,3,PConc,80.0,547.0,Y,1072,0,0,1.0,0.0,1,0,2,1,4,5,0,0,Fin,2.0,525.0,3,3,Paved,0,44,0,0,0,0,0,No Fence,Nothing,0,5,2007,WD ,Normal,5.146128035678238,5,Regular,"Residential, medium-density",0.0,0.0,0.0,0.0,0.0,Gas-powered forced-air heating,"Standard circuit breakers, all Romex wiring",Inside lot (1 side frontage),3.5553480614894135,3.5652573434202135,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,4,467.0,0.0,0.0,0.0,0.0,Basement,2,No attic,1,7,3.030194785356751,0.0,3.030194785356751,2007-05-01,2.328767123287671,0-20,2.328767123287671,-1.0,No remodel
