,PID,GrLivArea,SalePrice,LotArea,Neighborhood,FullBath,BedroomAbvGr,OverallQual
0,909176150,856,126000,7890,SWISU,1,2,6
1,905476230,1049,139500,4235,Edwards,2,2,5
2,911128020,1001,124900,6060,IDOTRR,1,2,5
3,535377150,1039,114000,8146,OldTown,1,2,4
4,534177230,1665,227000,8400,NWAmes,2,3,8
5,908128060,1922,198500,7301,Edwards,3,4,7
6,902135020,936,93000,6000,OldTown,1,2,4
7,528228540,1246,187687,3710,Blmngtn,2,2,7
8,923426010,889,137500,12395,Mitchel,1,3,5
9,908186050,1072,140000,3675,Edwards,1,2,6
10,528186170,1342,219500,6240,NridgHt,2,2,8
11,923426070,1274,136000,10475,Mitchel,1,3,5
12,902204080,861,80000,7404,OldTown,1,2,4
13,535105100,1394,159000,9500,NAmes,1,3,6
14,907405020,1536,214000,9135,CollgCr,2,3,7
15,531382110,1680,163000,8480,SawyerW,2,3,6
16,906380120,1274,203000,8814,CollgCr,2,3,7
17,909101060,864,67000,8248,Edwards,1,2,3
18,534152050,1610,205000,10603,NWAmes,2,3,6
19,923252075,1091,131250,7706,Mitchel,1,2,6
20,531376060,1486,181000,7441,SawyerW,2,3,7
21,902201120,789,115000,6000,OldTown,1,2,5
22,923228080,1092,98000,1477,MeadowV,2,3,6
23,902326030,2640,265979,11700,OldTown,1,4,7
24,527451330,1092,105500,1680,BrDale,1,3,5
25,528218100,1458,168165,13204,Gilbert,2,3,7
26,916386140,1466,201000,8925,Timber,2,3,8
27,533221090,1573,177500,2117,Somerst,2,3,6
28,534128010,2090,200000,10382,NWAmes,2,3,7
29,528106110,2046,450000,15431,NridgHt,2,2,10
30,902206260,886,91300,5784,OldTown,1,2,5
31,528222090,1258,173500,7697,Gilbert,2,3,7
32,528218150,1324,199500,18494,Gilbert,2,3,6
33,903400180,1848,207000,13053,BrkSide,1,4,6
34,535453210,1269,155000,7931,NAmes,1,3,5
35,916386010,1346,220000,11896,Timber,2,3,7
36,907181090,1749,196000,9272,CollgCr,2,3,7
37,902206020,492,61500,7830,OldTown,1,1,3
38,527327050,2030,195000,12046,NWAmes,2,4,6
39,527455250,988,129250,7150,NAmes,1,3,5
40,528326110,2172,291000,11000,NoRidge,2,4,9
41,914452190,1080,134000,9187,Mitchel,1,3,6
42,535425060,1312,186000,11355,NAmes,1,3,7
43,532376250,925,133500,8638,Sawyer,1,2,5
44,535379110,1534,148000,10800,OldTown,1,3,5
45,528118010,2376,325300,14215,NridgHt,3,4,8
46,528235160,1959,215000,11796,Gilbert,2,4,7
47,905478030,1716,131000,11409,Edwards,1,3,5
48,902106130,936,109500,4485,OldTown,1,2,5
49,902102080,1230,110000,10440,OldTown,1,2,5
50,909176170,2592,150000,10890,SWISU,2,6,5
51,533206070,1565,193800,3784,Somerst,2,2,8
52,527302020,1868,178000,12090,NWAmes,3,3,6
53,907414060,1422,179600,8500,CollgCr,2,3,7
54,904301060,1200,179000,10800,Edwards,3,3,5
55,532479020,1641,140000,10759,Sawyer,2,4,5
56,528110070,1973,395000,14226,NridgHt,2,3,8
57,534429130,1248,151500,10800,NAmes,1,3,5
58,528365060,2418,341000,10542,NoRidge,2,3,7
59,533135020,1755,235000,11949,NoRidge,2,3,7
60,910203100,672,72000,8534,IDOTRR,1,2,4
61,905451390,1626,154000,10512,Edwards,1,3,6
62,533213010,1726,222000,3830,Somerst,2,2,6
63,528118030,2748,390000,13418,NridgHt,2,4,9
64,907200340,894,128200,10650,CollgCr,1,3,5
65,528164060,2470,615000,12720,NridgHt,1,1,10
66,907202010,1174,158000,12250,CollgCr,1,3,5
67,528186180,1324,254000,6240,NridgHt,2,2,8
68,909250060,2447,169000,9638,SWISU,2,4,6
69,528315060,2199,284500,9660,NoRidge,2,3,8
70,528231020,1374,184500,13300,Gilbert,2,3,7
71,528456230,1335,210400,9000,Somerst,2,3,7
72,907180120,1588,214000,10264,CollgCr,2,3,7
73,911370410,1652,392500,5587,Crawfor,2,2,8
74,527108090,2021,274725,23257,Gilbert,2,3,7
75,528222050,1412,156932,8499,Gilbert,2,3,6
76,528429110,1464,282922,15256,Somerst,2,3,8
77,902328100,1690,144000,8850,OldTown,1,3,7
78,527451410,1092,88000,1680,BrDale,1,3,6
79,531477050,1012,67500,9800,SawyerW,1,2,5
80,914476130,1210,148000,11080,Mitchel,2,3,6
81,535453020,1256,159000,8000,NAmes,1,3,5
82,535379100,1130,120000,10800,OldTown,1,2,5
83,905108190,858,134900,7252,Sawyer,1,2,5
84,905201110,1188,185000,14175,Sawyer,1,1,6
85,903227090,1412,132500,6000,BrkSide,1,4,6
86,905107300,1040,160500,7176,Sawyer,1,3,6
87,903401070,1376,165000,8850,BrkSide,1,3,6
88,903230100,1301,100000,6911,BrkSide,1,2,5
89,527105010,1629,189900,13830,Gilbert,2,3,5
90,528480020,1761,227875,10207,Somerst,3,3,7
91,527402130,936,111900,10295,NAmes,1,2,4
92,909251080,1316,145000,8969,Crawfor,1,2,6
93,908201120,1440,118000,12108,Edwards,2,4,4
94,533221080,1524,166000,2998,Somerst,2,2,6
95,535178100,1370,148000,10000,NAmes,1,3,5
96,535457050,925,99000,7000,NAmes,1,3,5
97,923226270,630,86000,1526,MeadowV,1,1,4
98,535105090,1431,165000,9150,NAmes,1,3,6
99,533253070,1226,211500,3782,Greens,1,1,8
100,907280170,1417,210000,8750,CollgCr,2,3,7
101,914476450,1689,228500,9990,Mitchel,2,3,4
102,535327200,928,132000,13300,NAmes,1,2,5
103,528441090,2490,468000,11128,Somerst,2,2,9
104,906426195,1953,240000,53107,ClearCr,2,3,6
105,534275170,958,151500,12772,NAmes,1,2,6
106,923226180,630,73000,1470,MeadowV,1,1,4
107,923226320,630,75500,1491,MeadowV,1,1,4
108,528118050,2290,500067,17169,NridgHt,2,2,10
109,916253320,1502,330000,9763,GrnHill,1,1,7
110,904300150,1224,107500,10632,ClearCr,1,3,5
111,533236050,1739,172500,2645,Somerst,2,3,8
112,527354160,2044,185000,10400,NWAmes,2,3,7
113,528435040,1726,311872,9416,Somerst,2,3,7
114,534129230,1790,165150,10400,NWAmes,1,4,6
115,535325350,1056,125000,13600,NAmes,1,3,5
116,902408080,2554,159500,10800,OldTown,1,3,7
117,916455050,1312,180500,6718,Timber,2,2,8
118,909276200,1308,160000,9600,Crawfor,1,2,5
119,534277060,907,109008,8593,NAmes,1,3,4
120,905107280,1034,153000,7703,Sawyer,1,3,6
121,923204050,1040,132250,25286,Mitchel,1,3,4
122,531376050,1585,184900,7632,SawyerW,2,3,7
123,903454010,1355,127000,6882,IDOTRR,1,3,6
124,906412010,2276,475000,11778,CollgCr,2,3,9
125,535301060,1154,142000,11556,NAmes,1,3,5
126,534453080,808,112000,5175,BrkSide,1,2,5
127,911102180,1049,80900,5150,IDOTRR,1,2,4
128,535403210,1105,135000,10454,NAmes,1,3,6
129,531382120,1679,193500,8125,SawyerW,2,3,6
130,916455120,1440,232500,11202,Timber,2,3,8
131,905475510,1298,114000,11200,Edwards,2,3,5
132,916326090,2279,257000,19958,Timber,2,4,6
133,909101140,1604,117000,10998,Edwards,2,3,5
134,907260050,1932,213000,8749,CollgCr,2,3,7
135,907131090,1661,212000,10667,CollgCr,2,3,7
136,903206160,1827,202500,11737,BrkSide,1,2,6
137,528222020,1492,185101,9073,Gilbert,2,3,7
138,526352090,1277,167000,10628,NAmes,1,2,7
139,534201280,1052,138500,8400,NAmes,1,3,5
140,908102330,1220,102000,8877,Edwards,1,2,4
141,906385010,1226,198900,10402,CollgCr,2,3,7
142,534276230,1712,145000,8393,NAmes,2,4,5
143,906420020,1915,220000,10041,SawyerW,2,3,8
144,527404120,882,126000,8400,NAmes,1,2,4
145,907192010,1861,200000,13450,CollgCr,2,3,7
146,527131030,1659,278000,5664,StoneBr,2,2,8
147,527452290,1387,145000,7514,NAmes,1,3,5
148,907250030,1978,318000,10389,CollgCr,2,3,8
149,909251040,1298,146500,6821,Crawfor,2,2,6
150,535377100,720,86900,7008,OldTown,1,1,4
151,528174050,1358,213000,6904,NridgHt,2,2,6
152,533128090,1624,262000,12461,NoRidge,2,2,8
153,533250110,1239,217500,11064,Veenker,1,1,8
154,908186040,1072,148000,3675,Edwards,1,2,6
