PID,Address,longitude,latitude
909176150,436 Hayward Ave,-93.6514517,42.0177796
905476230,3416 West St,-93.6641856,42.0246969
911128020,320 S 2nd St,-93.6148547,42.0213891
535377150,1524 Douglas Ave,-93.6120649,42.0380697
534177230,2304 Fillmore Ave,-93.6318933,42.0449
908128060,4003 Marigold Dr,-93.6716132,42.0191089
902135020,212 10th St,-93.6128959,42.0310516
528228540,2431 Lakeside Dr,-93.6427409,42.0634011
923426010,602 Ken Maril Rd,-93.6036175,41.9863363
908186050,3901 Marigold Dr,-93.6703816,42.019086
528186170,3629 Chilton Ave,-93.6514127,42.057103
923426070,700 Ken Maril Rd,-93.6021339,41.9863635
902204080,1102 Carroll Ave,-93.6086225,42.0322288
535105100,2519 Kellogg Ave,-93.615957,42.047252
907405020,812 Tennyson Ave,-93.68745,42.015738
531382110,5220 Maryland St,-93.6899194,42.0357536
906380120,319 Hartford Dr,-93.6894042,42.0251853
909101060,2910 Wood St,-93.6578284,42.0219435
534152050,2102 Prairie View E,-93.6364656,42.0427279
923252075,424 Teagarden Dr,-93.6054374,41.9873619
531376060,1514 California Ave,-93.6909894,42.0373416
902201120,1216 Carroll Ave,-93.6087016,42.0338488
923228080,626 Meadow Pl,-93.602403,41.992342
902326030,829 Douglas Ave,-93.6125793,42.0299412
527451330,1342 Barkley Ct,-93.628319,42.051423
528218100,4205 Crestmoor Ave,-93.6457105,42.0619944
916386140,3028 Cottontail Lane,-93.6502643,41.99435740000001
533221090,2711 Hampton St,-93.6459481,42.0461934
534128010,1636 Johnson St,-93.632865,42.048968
528106110,3331 Weston Dr,-93.657825,42.0614983
902206260,926 Duff Ave,-93.6102843,42.0311722
528222090,4302 Welbeck Dr,-93.6441465,42.0632601
528218150,4103 Crestmoor Ave,-93.6444831,42.061763
903400180,816 Brookridge Ave,-93.627,42.029399
535453210,1522 Maxwell Ave,-93.606565,42.0376628
916386010,3005 Cedar Ln,-93.6494525,41.9951757
907181090,5408 Cervantes Dr,-93.6919315,42.0168902
902206020,118 E 11th St,-93.6096908,42.0318476
527327050,3323 Buchanan Ct,-93.6317746,42.0549831
527455250,1115 28th St,-93.6258371,42.0488372
528326110,3013 Almond Rd,-93.6513731,42.0559073
914452190,302 Opal Cir,-93.6073563,41.99400960000001
535425060,1903 Meadowlane Ave,-93.6054572,42.041367
532376250,4015 Toronto St,-93.673079,42.0360221
535379110,1412 Kellogg Ave,-93.6136477,42.0362045
528118010,3335 Preston Cir,-93.6580859,42.0605784
528235160,3908 Welbeck Dr,-93.6435922,42.0603433
905478030,3218 West St,-93.660997,42.0247405
902106130,1010 Grand Ave,-93.6200784,42.03157909999999
902102080,1203 Burnett Ave,-93.6158737,42.0334401
909176170,426 Hayward Ave,-93.6514519,42.0181276
533206070,2807 Bristol Dr,-93.647166,42.047406
527302020,3414 Eisenhower Ave,-93.6376533,42.0559751
907414060,4824 Waller St,-93.6854016,42.0135674
904301060,3012 Oakland St,-93.6587196,42.0279616
532479020,1306 Scott Cir,-93.6603237,42.0346517
528110070,3207 Stockbury St,-93.656264,42.0624123
534429130,808 Narland Dr,-93.6218792,42.0400015
528365060,2900 Ridgetop Rd,-93.6558878,42.0497012
533135020,2614 Southridge Cir,-93.6500944,42.0473036
910203100,301 S Russell Ave,-93.6286474,42.020356
905451390,310 Westwood Dr,-93.6671473,42.0249489
533213010,2805 Bristol Dr,-93.647039,42.047338
528118030,3317 Preston Cir,-93.657373,42.060601
907200340,5203 Schubert St,-93.6879775,42.0214834
528164060,3320 Foxley Dr,-93.65758900000002,42.058348
907202010,410 Thackeray Ave,-93.6865508,42.019404
528186180,3623 Chilton Ave,-93.6514127,42.0569486
909250060,2320 Knapp St,-93.6473143,42.0188965
528315060,3142 Bayberry Rd,-93.655767,42.054148
528231020,3917 Welbeck Dr,-93.6440475,42.0607343
528456230,2841 Aspen Rd,-93.6477696,42.051465
907180120,5325 Cervantes Dr,-93.691007,42.01758299999999
911370410,433 Aspen Ridge Rd,-93.616112,42.009536
527108090,4316 Harrison Cir,-93.636105,42.063269
528222050,4210 Welbeck Dr,-93.6441663,42.06250660000001
528429110,2416 Dalton Cir,-93.6413892,42.0542768
902328100,704 Burnett Ave,-93.6151515,42.0280832
527451410,1314 Barkley Ct,-93.6275299,42.051564
531477050,Address missing,-93.6319131,42.0307812
914476130,3007 Diamond St,-93.601356,41.9957149
