,SalePrice,GrLivArea,LotArea,OverallQual,BSMT_LowQual,house_age_years,GarageCars,FullBath,HalfBath,BsmtExposure_ord,SaleTypeNew,PorchSF,ExterQualDisc,OverallCondDisc,BSMT_HighQual,KitchenQualDisc,Fireplaces,Pool,BedroomAbvGr,water_tower,graveyard,police,optician,slipway,bar,farmyard,cinema,supermarket,hotel,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,MasVnrType_None,MasVnrType_Stone
2398,146500,1652,11836,0.28571428571428564,1652.0,36.18630136986302,3.0,2,0,1,0,0,-0.04761904761904773,-0.047619047619047616,0.0,-0.04761904761904773,0,0,4,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1047,231500,1792,12435,0.5714285714285714,602.0,7.3342465753424655,2.0,2,1,1,0,341,-0.09523809523809523,0.23809523809523814,361.0,-0.09523809523809523,1,0,3,1,0,0,0,0,1,12,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
938,82500,861,12342,0.14285714285714285,861.0,69.21095890410959,2.0,1,0,1,0,0,-0.19047619047619052,-0.1904761904761904,0.0,-0.19047619047619052,0,0,1,0,0,0,1,0,2,0,0,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2364,153000,1647,9532,0.14285714285714285,1105.0,54.12054794520548,1.0,1,0,1,0,0,-0.19047619047619052,-0.35714285714285715,0.0,-0.19047619047619052,1,1,3,0,1,1,1,0,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2422,85000,1141,5925,0.14285714285714285,570.0,107.4,1.0,1,0,1,0,96,-0.19047619047619052,-0.35714285714285715,0.0,-0.19047619047619052,0,0,3,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
812,89000,948,1680,0.42857142857142855,207.0,34.52054794520548,1.0,1,1,1,0,0,0.09523809523809518,0.09523809523809529,276.0,0.09523809523809518,0,0,2,2,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1287,187500,1604,8702,0.42857142857142855,926.0,11.254794520547945,2.0,2,1,1,0,36,0.09523809523809518,0.09523809523809529,0.0,0.09523809523809518,1,0,3,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
310,380000,2643,13693,0.857142857142857,2153.0,1.1616438356164382,3.0,2,1,3,0,84,-0.1428571428571429,0.5238095238095237,0.0,-0.1428571428571429,1,0,3,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
735,170000,1670,13355,0.5714285714285714,242.0,37.35616438356164,2.0,1,1,1,0,0,0.23809523809523803,0.0714285714285714,583.0,0.23809523809523803,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
187,164990,1310,8767,0.5714285714285714,1286.0,1.4958904109589042,2.0,2,0,3,1,0,-0.09523809523809523,0.23809523809523814,24.0,-0.09523809523809523,1,0,3,1,0,0,1,0,1,12,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
