PID,SalePrice,Address,GrLivArea,LotArea,OverallQual,BSMT_LowQual,house_age_years,GarageCars,MasVnrType,FullBath,HalfBath,BsmtExposure_ord,SaleTypeNew,Neighborhood,BldgType,PorchSF,BSMT_HighQual,Fireplaces,Pool,BedroomAbvGr,ExterQual,OverallCond,KitchenQual,water_tower,graveyard,police,optician,slipway,bar,cinema,supermarket,hotel,stop,farmyard,christian_catholic,jewish,muslim,garden_centre,christian_lutheran
909176150,126000,436 Hayward Ave,856,7890,0.4285714285714285,856.0,71.21095890410959,2.0,None,1,0,1,0,SWISU,1Fam,166,0.0,1,0,2,0.3333333333333333,0.5,0.3333333333333333,2,1,1,1,0,11,0,4,0,0,0,1,0,0,0,3
905476230,139500,3416 West St,1049,4235,0.2857142857142856,104.0,25.10410958904109,1.0,Brick Face,2,0,2,0,Edwards,TwnhsE,105,945.0,0,0,2,0.6666666666666666,0.3333333333333332,0.6666666666666666,1,1,1,1,0,11,0,4,0,0,0,1,0,1,0,2
535377150,114000,320 S 2nd St,1039,8146,0.1428571428571428,405.0,109.4027397260274,1.0,None,1,0,1,0,OldTown,1Fam,279,0.0,0,0,2,0.6666666666666666,0.8333333333333333,0.3333333333333333,0,1,1,1,0,4,1,1,0,0,1,0,0,0,0,3
534177230,227000,1524 Douglas Ave,1665,8400,0.7142857142857142,167.0,8.838356164383562,2.0,None,2,1,1,0,NWAmes,1Fam,45,643.0,0,0,3,0.6666666666666666,0.5,0.6666666666666666,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,3
908128060,198500,2304 Fillmore Ave,1922,7301,0.5714285714285714,0.0,6.501369863013698,2.0,Brick Face,3,0,0,0,Edwards,1Fam,177,0.0,1,0,4,0.6666666666666666,0.3333333333333332,0.6666666666666666,1,0,0,1,0,2,0,4,3,1,0,0,0,0,0,1
902135020,93000,4003 Marigold Dr,936,6000,0.1428571428571428,936.0,56.12328767123287,2.0,None,1,0,1,0,OldTown,2fmCon,144,0.0,0,0,2,0.0,0.1666666666666666,0.3333333333333333,0,1,1,1,0,4,0,4,1,0,0,0,0,0,0,3
528228540,187687,212 10th St,1246,3710,0.5714285714285714,1146.0,1.1643835616438356,2.0,Brick Face,2,0,4,1,Blmngtn,1Fam,24,0.0,1,0,2,0.6666666666666666,0.3333333333333332,0.6666666666666666,2,0,0,0,0,0,0,1,0,0,4,0,1,0,0,1
923426010,137500,2431 Lakeside Dr,889,12395,0.2857142857142856,217.0,24.265753424657536,2.0,None,1,0,1,0,Mitchel,1Fam,0,647.0,0,0,3,0.3333333333333333,0.5,0.3333333333333333,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,1
908186050,140000,602 Ken Maril Rd,1072,3675,0.4285714285714285,80.0,2.328767123287671,2.0,Stone,1,0,4,0,Edwards,TwnhsE,44,467.0,0,0,2,0.3333333333333333,0.3333333333333332,0.6666666666666666,1,0,0,1,0,3,0,4,3,1,0,0,0,0,0,1
528186170,219500,3901 Marigold Dr,1342,6240,0.7142857142857142,1318.0,2.084931506849315,2.0,Brick Face,2,0,1,0,NridgHt,TwnhsE,35,24.0,1,0,2,0.6666666666666666,0.3333333333333332,0.6666666666666666,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1
