Address,longitude,latitude
Address missing,-93.6319131,42.0307812
Address missing,-93.6319131,42.0307812
Address missing,-93.6319131,42.0307812
Address missing,-93.6319131,42.0307812
Address missing,-93.6319131,42.0307812
Address missing,-93.6319131,42.0307812
Address missing,-93.6319131,42.0307812
Address missing,-93.6319131,42.0307812
Address missing,-93.6319131,42.0307812
Address missing,-93.6319131,42.0307812
Address missing,-93.6319131,42.0307812
Address missing,-93.6319131,42.0307812
Address missing,-93.6319131,42.0307812
Address missing,-93.6319131,42.0307812
Address missing,-93.6319131,42.0307812
Address missing,-93.6319131,42.0307812
Address missing,-93.6319131,42.0307812
Address missing,-93.6319131,42.0307812
Address missing,-93.6319131,42.0307812
Address missing,-93.6319131,42.0307812
Address missing,-93.6319131,42.0307812
321 9th St,-93.615031,42.030406
111 9th St,-93.6113131,42.03036729999999
607 9th St,-93.6189505,42.0304364
509 9th St,-93.6176446,42.0303615
623 9th St,-93.6195837,42.0304164
627 9th St,-93.6198608,42.0304077
114 8th St,-93.6112142,42.0287671
803 6th St,-93.6218198,42.0270429
713 8th St,-93.6210481,42.0290182
219 7th St,-93.6130937,42.0281092
914 6th St,-93.6233418,42.0265934
618 9th St,-93.6195046,42.0299553
712 8th St,-93.6208106,42.02863929999999
515 8th St,-93.617882,42.0290405
322 7th St,-93.6148744,42.0277056
633 9th St,-93.6200587,42.0304788
924 6th St,-93.6237959,42.0266072
213 7th St,-93.612797,42.0280992
815 8th St,-93.6224333,42.0290519
711 9th St,-93.6209293,42.0304514
731 5th St,-93.6217209,42.0260222
722 6th St,-93.6213449,42.0265942
609 7th St,-93.618812,42.0280648
513 9th St,-93.6179216,42.0303914
717 10th St,-93.6212064,42.0314857
922 Poe Ave,-93.6837373,42.0139685
117 16th St,-93.6116692,42.0384684
225 16th St,-93.6136873,42.03852089999999
327 22nd St,-93.6153889,42.044068
821 Poe Ave,-93.6840939,42.0154255
116 15th St,-93.6116296,42.03677
619 Poe Ave,-93.684134,42.016704
705 Poe Ave,-93.6840741,42.0164888
611 16th St,-93.6190693,42.0385448
217 20th St,-93.6134103,42.0422763
1012 9th St,-93.6241945,42.0299815
125 13th St,-93.6120253,42.0347489
509 Ash Ave,-93.6447602,42.0176829
622 11th St,-93.6195046,42.0318869
626 13th St,-93.6197816,42.0342347
807 12th St,-93.6218792,42.0334733
202 22nd St,-93.6130937,42.0437925
703 Onyx St,-93.6025295,41.9962483
822 Poe Ave,-93.6834599,42.0153685
803 16th St,-93.6216813,42.0385399
512 10th St,-93.6176841,42.0310943
616 18th St,-93.6193859,42.0404276
502 Ely Cir,-93.6049428,41.9886727
508 Ely Cir,-93.604745,41.9886402
412 10th St,-93.6163782,42.0310967
720 10th St,-93.6213647,42.03109440000001
608 Poe Ave,-93.6835392,42.0171048
521 Ely Cir,-93.6047846,41.9892189
419 18th St,-93.6165365,42.0404785
518 13th St,-93.6180007,42.0342521
505 Poe Cir,-93.6844109,42.0181975
311 11th St,-93.6145974,42.0323889
221 16th St,-93.6135092,42.0385072
117 13th St,-93.6117484,42.0347576
306 21st St,-93.6142413,42.0427523
217 15th St,-93.6133707,42.0371789
427 24th St,-93.6170905,42.0459456
625 13th St,-93.619742,42.0347381
209 17th St,-93.6130542,42.0395064
809 Poe Ave,-93.6840741,42.0157932
3505 Coy St,-93.6665365,42.0180839
614 20th St,-93.6192671,42.0418604
614 16th St,-93.619188,42.0381162
218 16th St,-93.6132916,42.0381084
908 Poe Ave,-93.6836184,42.0143201
115 15th St,-93.6116692,42.0372323
