,PID,Address,Coords4,latitude,longitude,gps,SalePrice,AvgPrice-0.25,AvgPrice-0.5
0,909176150,"436 HAYWARD AVE, Ames, Iowa, USA","436 Hayward Ave, Ames, IA 50014, USA",42.0177796,-93.6514517,"(42.0177796, -93.6514517)",126000,141078.80555555556,153816.16304347827
1,905476230,"3416 WEST ST, Ames, Iowa, USA","3416 West St, Ames, IA 50014, USA",42.0246969,-93.6641856,"(42.0246969, -93.6641856)",139500,140452.95454545456,133264.81751824816
2,911128020,"320 S 2ND ST, Ames, Iowa, USA","320 S 2nd St, Ames, IA 50010, USA",42.0213891,-93.6148547,"(42.0213891, -93.6148547)",124900,77901.375,104173.65384615384
3,535377150,"1524 DOUGLAS AVE, Ames, Iowa, USA","1524 Douglas Ave, Ames, IA 50010, USA",42.0380697,-93.6120649,"(42.0380697, -93.6120649)",114000,124054.76190476191,133868.24909747293
4,534177230,"2304 FILLMORE AVE, Ames, Iowa, USA","2304 Fillmore Ave, Ames, IA 50010, USA",42.0449,-93.6318933,"(42.0449, -93.6318933)",227000,178830.45454545456,164427.17142857143
5,908128060,"4003 MARIGOLD DR, Ames, Iowa, USA","4003 Marigold Dr, Ames, IA 50014, USA",42.0191089,-93.6716132,"(42.0191089, -93.6716132)",198500,145937.83783783784,144045.87068965516
6,902135020,"212 10TH ST 210, Ames, Iowa, USA","212 10th St, Ames, IA 50010, USA",42.0310516,-93.6128959,"(42.0310516, -93.6128959)",93000,132223.171875,126924.19245283019
7,528228540,"2431 LAKESIDE DR, Ames, Iowa, USA","2431 Lakeside Dr, Ames, IA 50010, USA",42.0634011,-93.6427409,"(42.0634011, -93.6427409)",187687,194076.4776119403,195266.75925925927
8,923426010,"602 KEN MARIL RD, Ames, Iowa, USA","602 Ken Maril Rd, Ames, IA 50010, USA",41.9863363,-93.6036175,"(41.9863363, -93.6036175)",137500,141430.35714285713,131938.4
9,908186050,"3901 MARIGOLD DR, Ames, Iowa, USA","3901 Marigold Dr, Ames, IA 50014, USA",42.019086,-93.6703816,"(42.019086, -93.6703816)",140000,139445.83333333334,141736.31092436975
10,528186170,"3629 CHILTON AVE, Ames, Iowa, USA","3629 Chilton Ave, Ames, IA 50010, USA",42.057103,-93.6514127,"(42.057103, -93.6514127)",219500,263805.1538461539,285951.5458515284
11,923426070,"700 KEN MARIL RD, Ames, Iowa, USA","700 Ken Maril Rd, Ames, IA 50010, USA",41.9863635,-93.6021339,"(41.9863635, -93.6021339)",136000,145909.61538461538,131189.78723404257
12,902204080,"1102 CARROLL AVE, Ames, Iowa, USA","1102 Carroll Ave, Ames, IA 50010, USA",42.0322288,-93.6086225,"(42.0322288, -93.6086225)",80000,124153.5081967213,127276.32126696833
13,535105100,"2519 KELLOGG AVE, Ames, Iowa, USA","2519 Kellogg Ave, Ames, IA 50010, USA",42.047252,-93.615957,"(42.047252, -93.615957)",159000,170284.44897959183,153321.55147058822
14,907405020,"812 TENNYSON AVE, Ames, Iowa, USA","812 Tennyson Ave, Ames, IA 50014, USA",42.015738,-93.68745,"(42.015738, -93.68745)",214000,212618.53684210527,192923.87562189053
15,531382110,"5220 MARYLAND ST, Ames, Iowa, USA","5220 Maryland St, Ames, IA 50014, USA",42.0357536,-93.6899194,"(42.0357536, -93.6899194)",163000,173428.46031746033,183246.2840909091
16,906380120,"319 HARTFORD DR, Ames, Iowa, USA","319 Hartford Dr, Ames, IA 50014, USA",42.0251853,-93.6894042,"(42.0251853, -93.6894042)",203000,221875.1081081081,190280.16393442624
17,909101060,"2910 WOOD ST, Ames, Iowa, USA","2910 Wood St, Ames, IA 50014, USA",42.0219435,-93.6578284,"(42.0219435, -93.6578284)",67000,103522.58064516129,123419.43925233645
18,534152050,"2102 PRAIRIE VIEW EAST, Ames, Iowa, USA","2102 Prairie View E, Ames, IA 50010, USA",42.0427279,-93.6364656,"(42.0427279, -93.6364656)",205000,185159.6875,191463.3510638298
19,923252075,"424 TEAGARDEN DR, Ames, Iowa, USA","424 Teagarden Dr, Ames, IA 50010, USA",41.9873619,-93.6054374,"(41.9873619, -93.6054374)",131250,140550.0,134500.81818181818
