,PID,SalePrice,LotFrontage,LotArea,LotShape,LandSlope,LandContour,MSZoning,Street,Alley,Neighborhood,LotConfig,Condition1,Condition2,Foundation,Utilities,Heating,HeatingQC,CentralAir,Electrical
1,909176150,126000,,7890,Reg,Gtl,Lvl,RL,Pave,,SWISU,Corner,Norm,Norm,CBlock,AllPub,GasA,TA,Y,SBrkr
2,905476230,139500,42.0,4235,Reg,Gtl,Lvl,RL,Pave,,Edwards,Inside,Norm,Norm,CBlock,AllPub,GasA,TA,Y,SBrkr
3,911128020,124900,60.0,6060,Reg,Gtl,Lvl,C (all),Pave,,IDOTRR,Inside,Norm,Norm,BrkTil,AllPub,GasA,Ex,Y,SBrkr
4,535377150,114000,80.0,8146,Reg,Gtl,Lvl,RL,Pave,,OldTown,Corner,Norm,Norm,BrkTil,AllPub,GasA,Gd,Y,SBrkr
5,534177230,227000,70.0,8400,Reg,Gtl,Lvl,RL,Pave,,NWAmes,Inside,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
6,908128060,198500,64.0,7301,Reg,Gtl,Lvl,RL,Pave,,Edwards,Corner,Norm,Norm,Slab,AllPub,GasA,Ex,Y,SBrkr
7,902135020,93000,60.0,6000,Reg,Mod,Bnk,RM,Pave,Pave,OldTown,Inside,Norm,Norm,CBlock,AllPub,GasA,TA,N,SBrkr
8,528228540,187687,53.0,3710,Reg,Gtl,Lvl,RL,Pave,,Blmngtn,Inside,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
9,923426010,137500,74.0,12395,Reg,Gtl,Lvl,RL,Pave,,Mitchel,Corner,Norm,Norm,CBlock,AllPub,GasA,TA,Y,SBrkr
10,908186050,140000,35.0,3675,Reg,Gtl,Lvl,RM,Pave,,Edwards,Inside,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
11,528186170,219500,48.0,6240,Reg,Gtl,Lvl,RL,Pave,,NridgHt,Inside,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
12,923426070,136000,63.0,10475,Reg,Gtl,Lvl,RL,Pave,,Mitchel,Inside,Norm,Norm,PConc,AllPub,GasA,Gd,Y,SBrkr
13,902204080,80000,62.0,7404,Reg,Gtl,Lvl,RM,Pave,,OldTown,Corner,Norm,Norm,BrkTil,AllPub,GasA,TA,Y,SBrkr
14,535105100,159000,,9500,IR1,Gtl,Lvl,RL,Pave,,NAmes,Inside,Norm,Norm,CBlock,AllPub,GasA,Gd,Y,SBrkr
15,907405020,214000,70.0,9135,Reg,Gtl,Lvl,RL,Pave,,CollgCr,Inside,Norm,Norm,PConc,AllPub,GasA,Ex,Y,SBrkr
