,PID,SalePrice,MiscFeature,Fireplaces,FireplaceQu,PoolQC,PoolArea,PavedDrive,ExterQual,OverallQual,OverallCond,MiscVal,YearBuilt,YearRemodAdd,KitchenQual,Fence,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterCond,MasVnrType,MasVnrArea
1,909176150,126000,,1,Gd,,0,Y,TA,6,6,0,1939,1950,TA,,Gable,CompShg,Wd Sdng,Wd Sdng,TA,None,0.0
2,905476230,139500,,0,,,0,Y,Gd,5,5,0,1984,1984,Gd,,Gable,CompShg,HdBoard,HdBoard,TA,BrkFace,149.0
3,911128020,124900,,0,,,0,N,Gd,5,9,0,1930,2007,Gd,,Hip,CompShg,MetalSd,MetalSd,TA,None,0.0
4,535377150,114000,,0,,,0,N,Gd,4,8,0,1900,2003,TA,,Gable,CompShg,MetalSd,MetalSd,Gd,None,0.0
5,534177230,227000,,0,,,0,Y,Gd,8,6,0,2001,2001,Gd,,Gable,CompShg,VinylSd,VinylSd,TA,None,0.0
6,908128060,198500,,1,Ex,,0,Y,Gd,7,5,0,2003,2003,Gd,,Gable,CompShg,HdBoard,HdBoard,TA,BrkFace,500.0
7,902135020,93000,,0,,,0,Y,Fa,4,4,0,1953,1953,TA,,Gable,CompShg,MetalSd,MetalSd,TA,None,0.0
8,528228540,187687,,1,Gd,,0,Y,Gd,7,5,0,2007,2008,Gd,,Gable,CompShg,WdShing,Wd Shng,TA,BrkFace,20.0
9,923426010,137500,,0,,,0,Y,TA,5,6,0,1984,1984,TA,,Gable,CompShg,HdBoard,Plywood,TA,None,0.0
10,908186050,140000,,0,,,0,Y,TA,6,5,0,2005,2005,Gd,,Gable,CompShg,VinylSd,VinylSd,TA,Stone,76.0
11,528186170,219500,,1,Gd,,0,Y,Gd,8,5,0,2006,2007,Gd,,Hip,CompShg,MetalSd,MetalSd,TA,BrkFace,196.0
12,923426070,136000,,0,,,0,Y,TA,5,5,0,1991,1991,TA,GdWo,Gable,CompShg,HdBoard,HdBoard,TA,None,0.0
13,902204080,80000,,0,,,0,N,TA,4,6,0,1920,1950,TA,,Gable,CompShg,MetalSd,MetalSd,TA,None,0.0
14,535105100,159000,,2,Gd,,0,Y,TA,6,5,0,1963,1963,TA,,Gable,CompShg,Plywood,Plywood,TA,BrkFace,247.0
15,907405020,214000,,0,,,0,Y,Gd,7,5,0,2002,2003,Gd,,Gable,CompShg,VinylSd,VinylSd,TA,BrkFace,113.0
16,531382110,163000,,0,,,0,Y,Gd,6,5,0,1993,1994,Gd,,Gable,CompShg,HdBoard,HdBoard,TA,BrkFace,120.0
17,906380120,203000,,0,,,0,Y,Gd,7,5,0,2005,2007,Gd,,Gable,CompShg,VinylSd,VinylSd,TA,BrkFace,80.0
18,909101060,67000,,0,,,0,N,TA,3,3,0,1914,1950,TA,,Gable,CompShg,Stucco,Stucco,TA,None,0.0
19,534152050,205000,,2,TA,,0,Y,TA,6,7,0,1977,2001,Gd,,Gable,CompShg,Plywood,Plywood,TA,BrkFace,28.0
20,923252075,131250,Shed,0,,,0,Y,TA,6,5,700,1993,1996,TA,,Gable,CompShg,HdBoard,HdBoard,Gd,None,0.0
21,531376060,181000,,0,,,0,Y,Gd,7,5,0,2006,2006,Gd,,Gable,CompShg,VinylSd,VinylSd,TA,BrkFace,170.0
22,902201120,115000,,0,,,0,Y,TA,5,5,0,1948,1950,TA,,Gable,CompShg,VinylSd,VinylSd,TA,None,0.0
23,923228080,98000,,0,,,0,Y,TA,6,9,0,1970,2007,TA,,Gable,CompShg,CemntBd,CmentBd,Gd,None,0.0
24,902326030,265979,,1,Gd,,0,N,Gd,7,7,0,1880,2003,Gd,,Mansard,CompShg,Stucco,Stucco,TA,None,0.0
25,527451330,105500,,0,,,0,Y,TA,5,5,0,1971,1971,TA,,Gable,CompShg,HdBoard,HdBoard,TA,BrkFace,492.0
26,528218100,168165,,0,,,0,Y,TA,7,5,0,2006,2007,Gd,,Gable,CompShg,VinylSd,VinylSd,TA,Stone,44.0
27,916386140,201000,,0,,,0,Y,Gd,8,5,0,2007,2007,Gd,,Gable,CompShg,VinylSd,VinylSd,TA,None,0.0
28,533221090,177500,,0,,,0,Y,Gd,6,5,0,2000,2000,Gd,,Gable,CompShg,MetalSd,MetalSd,TA,BrkFace,216.0
29,534128010,200000,Shed,2,TA,,0,Y,TA,7,6,350,1973,1973,TA,,Gable,CompShg,HdBoard,HdBoard,TA,Stone,240.0
30,528106110,450000,,2,Gd,,0,Y,Ex,10,5,0,2005,2006,Ex,,Hip,CompShg,VinylSd,VinylSd,TA,BrkFace,400.0
31,902206260,91300,,0,,,0,Y,TA,5,8,0,1938,1996,TA,,Gable,CompShg,MetalSd,MetalSd,TA,None,0.0
32,528222090,173500,,0,,,0,Y,Gd,7,6,0,2007,2007,Gd,,Gable,CompShg,VinylSd,VinylSd,TA,BrkFace,0.0
33,528218150,199500,,0,,,0,Y,Gd,6,5,0,2005,2005,Gd,,Gable,CompShg,VinylSd,VinylSd,TA,None,0.0
34,903400180,207000,,1,Gd,,0,N,TA,6,7,0,1923,2000,Gd,,Gambrel,CompShg,Wd Sdng,Wd Sdng,TA,None,0.0
35,535453210,155000,,1,Fa,,0,Y,TA,5,6,0,1960,1960,TA,,Gable,CompShg,BrkFace,Wd Sdng,TA,None,0.0
36,916386010,220000,,1,TA,,0,Y,Gd,7,5,0,2008,2008,Gd,,Gable,CompShg,VinylSd,VinylSd,TA,Stone,60.0
37,907181090,196000,,0,,,0,Y,Gd,7,5,0,1999,1999,Gd,,Gable,CompShg,VinylSd,VinylSd,TA,None,0.0
38,902206020,61500,,0,,,0,N,TA,3,5,0,1921,1950,TA,,Gable,CompShg,AsbShng,AsbShng,TA,None,0.0
39,527327050,195000,,1,TA,,0,Y,TA,6,6,0,1976,1976,Gd,,Gable,CompShg,Plywood,Plywood,TA,BrkFace,298.0
40,527455250,129250,,0,,,0,Y,TA,5,6,0,1966,1966,TA,,Hip,CompShg,HdBoard,HdBoard,TA,BrkFace,52.0
41,528326110,291000,,1,TA,,0,Y,Gd,9,5,0,2000,2000,Ex,,Hip,CompShg,VinylSd,VinylSd,TA,BrkFace,295.0
42,914452190,134000,,0,,,0,Y,TA,6,5,0,1983,1983,TA,,Gable,CompShg,VinylSd,VinylSd,Gd,None,0.0
43,535425060,186000,Othr,1,Gd,,0,Y,TA,7,7,6500,1958,2001,TA,MnPrv,Gable,Tar&Grv,HdBoard,HdBoard,TA,BrkFace,125.0
44,532376250,133500,,0,,,0,Y,TA,5,6,0,1963,1963,TA,,Gable,CompShg,HdBoard,HdBoard,TA,None,0.0
45,535379110,148000,,0,,,0,N,TA,5,9,0,1895,1999,Gd,,Gable,CompShg,Wd Sdng,HdBoard,Gd,None,0.0
46,528118010,325300,,1,Gd,,0,Y,Gd,8,5,0,2005,2006,Gd,,Gable,CompShg,VinylSd,VinylSd,TA,BrkFace,380.0
47,528235160,215000,,1,Gd,,0,Y,Gd,7,5,0,2004,2005,Gd,,Gable,CompShg,VinylSd,VinylSd,TA,None,0.0
48,905478030,131000,,1,Gd,,0,Y,TA,5,4,0,1949,2008,TA,,Gable,CompShg,Wd Sdng,Wd Sdng,TA,None,0.0
49,902106130,109500,,1,Gd,,0,P,TA,5,7,0,1920,1950,TA,MnPrv,Gable,CompShg,Wd Sdng,Wd Sdng,TA,None,0.0
50,902102080,110000,,0,,,0,Y,TA,5,6,0,1910,1981,TA,MnPrv,Gable,CompShg,Wd Sdng,Wd Sdng,TA,None,0.0
51,909176170,150000,Shed,0,,,0,Y,TA,5,6,1512,1923,1950,TA,,Hip,CompShg,Wd Sdng,Plywood,TA,None,0.0
52,533206070,193800,,0,,,0,Y,Gd,8,5,0,2006,2007,Gd,,Gable,CompShg,VinylSd,VinylSd,TA,Stone,36.0
53,527302020,178000,,1,TA,,0,Y,TA,6,7,0,1984,2003,TA,,Hip,CompShg,VinylSd,VinylSd,TA,BrkFace,74.0
54,907414060,179600,,0,,,0,Y,Gd,7,5,0,2004,2004,Gd,,Gable,CompShg,VinylSd,VinylSd,TA,BrkFace,106.0
55,904301060,179000,,0,,,0,Y,TA,5,5,0,1987,1988,TA,,Gable,CompShg,Plywood,Plywood,TA,None,0.0
56,532479020,140000,,1,Gd,,0,Y,TA,5,4,0,1972,1972,TA,GdPrv,Gable,CompShg,HdBoard,HdBoard,Gd,None,0.0
57,528110070,395000,,1,Gd,,0,Y,Gd,8,5,0,2006,2006,Gd,,Hip,CompShg,VinylSd,VinylSd,TA,BrkFace,375.0
58,534429130,151500,,0,,,0,Y,TA,5,7,0,1960,1960,TA,MnPrv,Hip,CompShg,Wd Sdng,Wd Sdng,TA,BrkFace,88.0
59,528365060,341000,,1,TA,,0,Y,Gd,7,5,0,1993,1994,Gd,,Hip,CompShg,Wd Sdng,ImStucc,TA,BrkFace,651.0
60,533135020,235000,,1,TA,,0,Y,Gd,7,8,0,1991,2008,Gd,GdPrv,Gable,CompShg,VinylSd,VinylSd,Gd,BrkFace,196.0
61,910203100,72000,,0,,,0,N,TA,4,4,0,1925,1950,TA,GdWo,Gable,CompShg,Wd Sdng,Wd Sdng,TA,None,0.0
62,905451390,154000,,0,,,0,Y,TA,6,6,0,1954,1954,Gd,,Gable,CompShg,Wd Sdng,Wd Sdng,TA,None,0.0
63,533213010,222000,,1,Gd,,0,Y,Gd,6,5,0,2008,2008,Gd,,Gable,CompShg,VinylSd,VinylSd,TA,Stone,280.0
64,528118030,390000,,1,Gd,,0,Y,Gd,9,5,0,2006,2006,Ex,,Hip,CompShg,VinylSd,VinylSd,TA,BrkFace,270.0
65,907200340,128200,,0,,,0,Y,TA,5,6,0,1976,1976,TA,MnPrv,Gable,CompShg,HdBoard,HdBoard,TA,None,0.0
66,528164060,615000,,2,Gd,Ex,144,Y,Ex,10,5,0,2003,2003,Ex,,Hip,CompShg,MetalSd,MetalSd,TA,Stone,680.0
67,907202010,158000,,0,,,0,Y,TA,5,6,0,1978,1978,TA,,Gable,CompShg,HdBoard,HdBoard,TA,BrkFace,180.0
68,528186180,254000,,1,Gd,,0,Y,Gd,8,5,0,2006,2006,Gd,,Hip,CompShg,MetalSd,MetalSd,TA,BrkFace,176.0
69,909250060,169000,,1,Gd,,0,Y,TA,6,7,0,1919,1990,Gd,,Gable,CompShg,Wd Sdng,Wd Shng,TA,None,0.0
70,528315060,284500,,1,TA,,0,Y,Gd,8,5,0,1997,1997,Gd,,Hip,CompShg,HdBoard,HdBoard,TA,BrkFace,1290.0
71,528231020,184500,,1,Gd,,0,Y,Gd,7,5,0,2004,2004,Gd,,Gable,CompShg,VinylSd,VinylSd,TA,None,0.0
72,528456230,210400,,0,,,0,Y,Gd,7,5,0,2006,2007,Gd,,Gable,CompShg,VinylSd,VinylSd,TA,None,0.0
73,907180120,214000,,0,,,0,Y,Gd,7,5,0,1999,1999,Gd,,Gable,CompShg,VinylSd,VinylSd,TA,BrkFace,183.0
74,911370410,392500,,1,Gd,,0,Y,Ex,8,5,0,2008,2008,Gd,,Hip,CompShg,CemntBd,CmentBd,TA,Stone,186.0
75,527108090,274725,,1,Gd,,0,Y,Gd,7,5,0,2006,2006,Gd,,Gable,CompShg,VinylSd,VinylSd,TA,None,0.0
76,528222050,156932,,1,Gd,,0,Y,TA,6,5,0,2006,2007,Gd,,Gable,CompShg,VinylSd,VinylSd,TA,None,0.0
77,528429110,282922,,0,,,0,Y,Gd,8,5,0,2007,2007,Gd,,Gable,CompShg,VinylSd,VinylSd,TA,Stone,84.0
78,902328100,144000,,1,Gd,,0,Y,TA,7,6,0,1916,1950,TA,,Gable,CompShg,MetalSd,MetalSd,TA,None,0.0
79,527451410,88000,,0,,,0,Y,TA,6,5,0,1971,1971,TA,,Gable,CompShg,HdBoard,ImStucc,TA,BrkFace,381.0
80,531477050,67500,,0,,,0,Y,TA,5,5,0,1920,1950,TA,,Gable,CompShg,Wd Sdng,Wd Sdng,Fa,None,0.0
81,914476130,148000,,0,,,0,Y,TA,6,6,0,1975,1975,TA,,Gable,CompShg,Plywood,Plywood,TA,BrkFace,257.0
82,535453020,159000,,0,,,0,Y,TA,5,6,0,1959,1959,Gd,,Gable,CompShg,BrkFace,Wd Sdng,TA,None,0.0
83,535379100,120000,,1,Gd,,0,Y,TA,5,6,0,1920,1950,TA,,Hip,CompShg,Stucco,Stucco,TA,None,0.0
84,905108190,134900,,0,,,0,Y,TA,5,5,0,1982,1982,TA,,Hip,CompShg,Wd Sdng,Wd Sdng,TA,None,0.0
85,905201110,185000,,1,TA,,0,Y,TA,6,8,0,1956,1956,TA,,Gable,CompShg,HdBoard,HdBoard,TA,None,0.0
86,903227090,132500,,1,Gd,,0,Y,TA,6,6,0,1939,1950,TA,,Gable,CompShg,MetalSd,MetalSd,Fa,None,0.0
87,905107300,160500,,1,Fa,,0,Y,TA,6,6,0,1978,1978,TA,GdPrv,Gable,CompShg,HdBoard,HdBoard,TA,BrkFace,200.0
88,903401070,165000,,0,,,0,P,TA,6,7,0,1920,1950,Gd,,Gable,CompShg,Wd Sdng,Wd Shng,Gd,None,0.0
89,903230100,100000,,0,,,0,Y,TA,5,5,0,1924,1950,Fa,,Gable,CompShg,Wd Sdng,Wd Sdng,TA,None,0.0
90,527105010,189900,,1,TA,,0,Y,TA,5,5,0,1997,1998,TA,MnPrv,Gable,CompShg,VinylSd,VinylSd,TA,None,0.0
91,528480020,227875,,0,,,0,Y,Gd,7,6,0,2007,2007,Gd,,Gable,CompShg,VinylSd,VinylSd,TA,None,0.0
92,527402130,111900,,0,,,0,Y,TA,4,6,0,1969,1969,TA,,Gable,CompShg,HdBoard,HdBoard,TA,BrkFace,72.0
93,909251080,145000,,1,Gd,,0,P,TA,6,6,0,1926,1950,TA,MnPrv,Gambrel,CompShg,Wd Sdng,Wd Sdng,TA,None,0.0
94,908201120,118000,,0,,,0,Y,TA,4,4,0,1955,1955,Fa,,Gable,CompShg,VinylSd,VinylSd,TA,BrkFace,270.0
95,533221080,166000,,0,,,0,Y,Gd,6,5,0,2000,2000,Gd,,Gable,CompShg,MetalSd,MetalSd,TA,BrkFace,513.0
96,535178100,148000,,1,TA,,0,Y,TA,5,6,0,1956,1956,TA,MnPrv,Hip,CompShg,Wd Sdng,Wd Sdng,TA,BrkFace,272.0
