,PID,SalePrice,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,GarageFinish,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond
1,909176150,126000,TA,TA,No,Rec,238.0,Unf,0.0,618.0,856.0,0,0,0,0,166,Unf,Detchd,1939.0,Unf,2.0,399.0,TA,TA
2,905476230,139500,Gd,TA,Mn,GLQ,552.0,ALQ,393.0,104.0,1049.0,0,105,0,0,0,Fin,Attchd,1984.0,Fin,1.0,266.0,TA,TA
3,911128020,124900,TA,TA,No,ALQ,737.0,Unf,0.0,100.0,837.0,154,0,42,86,0,Unf,Detchd,1930.0,Unf,1.0,216.0,TA,Po
4,535377150,114000,Fa,TA,No,Unf,0.0,Unf,0.0,405.0,405.0,0,0,168,0,111,Unf,Detchd,1940.0,Unf,1.0,281.0,TA,TA
5,534177230,227000,Gd,TA,No,GLQ,643.0,Unf,0.0,167.0,810.0,0,45,0,0,0,Fin,Attchd,2001.0,Fin,2.0,528.0,TA,TA
6,908128060,198500,,,,,0.0,,0.0,0.0,0.0,0,0,177,0,0,RFn,BuiltIn,2003.0,RFn,2.0,672.0,TA,TA
7,902135020,93000,Fa,TA,No,Unf,0.0,Unf,0.0,936.0,936.0,0,32,112,0,0,Unf,Detchd,1974.0,Unf,2.0,576.0,TA,TA
8,528228540,187687,Gd,TA,Gd,Unf,0.0,Unf,0.0,1146.0,1146.0,100,24,0,0,0,Fin,Attchd,2007.0,Fin,2.0,428.0,TA,TA
9,923426010,137500,TA,TA,No,ALQ,647.0,Unf,0.0,217.0,864.0,0,0,0,0,0,Unf,Attchd,1984.0,Unf,2.0,484.0,TA,TA
10,908186050,140000,Gd,TA,Gd,GLQ,467.0,Unf,0.0,80.0,547.0,0,44,0,0,0,Fin,Basment,2005.0,Fin,2.0,525.0,TA,TA
11,528186170,219500,Gd,TA,No,GLQ,24.0,Unf,0.0,1318.0,1342.0,0,35,0,0,0,RFn,Attchd,2007.0,RFn,2.0,550.0,TA,TA
12,923426070,136000,Gd,TA,No,Rec,458.0,Unf,0.0,166.0,624.0,22,0,0,0,0,Unf,Detchd,1993.0,Unf,2.0,576.0,TA,TA
13,902204080,80000,Fa,TA,No,Unf,0.0,Unf,0.0,861.0,861.0,0,0,128,0,0,Unf,Detchd,1920.0,Unf,2.0,288.0,TA,TA
14,535105100,159000,Gd,TA,No,BLQ,609.0,Unf,0.0,785.0,1394.0,0,76,0,0,185,RFn,Attchd,1963.0,RFn,2.0,514.0,TA,TA
