,PID,SalePrice,MSSubClass,BldgType,HouseStyle,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Functional,SaleCondition,SaleType,MoSold,YrSold
1,909176150,126000,30,1Fam,1Story,856,0,0,856,1.0,0.0,1,0,2,1,4,Typ,Normal,WD ,3,2010
2,905476230,139500,120,TwnhsE,1Story,1049,0,0,1049,1.0,0.0,2,0,2,1,5,Typ,Normal,WD ,2,2009
3,911128020,124900,30,1Fam,1Story,1001,0,0,1001,0.0,0.0,1,0,2,1,5,Typ,Normal,WD ,11,2007
4,535377150,114000,70,1Fam,2Story,717,322,0,1039,0.0,0.0,1,0,2,1,6,Typ,Normal,WD ,5,2009
5,534177230,227000,60,1Fam,2Story,810,855,0,1665,1.0,0.0,2,1,3,1,6,Typ,Normal,WD ,11,2009
6,908128060,198500,85,1Fam,SFoyer,495,1427,0,1922,0.0,0.0,3,0,4,1,7,Typ,Normal,ConLD,7,2009
7,902135020,93000,20,2fmCon,1Story,936,0,0,936,0.0,0.0,1,0,2,1,4,Min2,Normal,WD ,2,2009
8,528228540,187687,20,1Fam,1Story,1246,0,0,1246,0.0,0.0,2,0,2,1,5,Typ,Partial,New,3,2008
9,923426010,137500,20,1Fam,1Story,889,0,0,889,0.0,0.0,1,0,3,1,6,Typ,Normal,WD ,4,2008
10,908186050,140000,180,TwnhsE,SFoyer,1072,0,0,1072,1.0,0.0,1,0,2,1,5,Typ,Normal,WD ,5,2007
11,528186170,219500,120,TwnhsE,1Story,1342,0,0,1342,0.0,0.0,2,0,2,1,6,Typ,Normal,WD ,2,2008
12,923426070,136000,60,1Fam,2Story,624,650,0,1274,0.0,0.0,1,1,3,1,6,Typ,Normal,WD ,3,2010
13,902204080,80000,30,1Fam,1Story,861,0,0,861,0.0,0.0,1,0,2,1,5,Typ,Normal,Oth,11,2009
14,535105100,159000,20,1Fam,1Story,1394,0,0,1394,1.0,0.0,1,1,3,1,6,Typ,Normal,WD ,7,2009
15,907405020,214000,20,1Fam,1Story,1536,0,0,1536,1.0,0.0,2,0,3,1,7,Typ,Normal,WD ,12,2008
16,531382110,163000,60,1Fam,2Story,886,794,0,1680,0.0,1.0,2,1,3,1,7,Typ,Normal,WD ,10,2008
17,906380120,203000,20,1Fam,1Story,1274,0,0,1274,1.0,0.0,2,0,3,1,6,Typ,Partial,New,1,2007
